cause_of_death,chapter,count,year,sex,cause_of_death_map
Malignant neoplasm of palate,Neoplasms,11,2008,Males,
Malignant neoplasm of other and unspecified parts of mouth,Neoplasms,34,2008,Males,
Malignant neoplasm of parotid gland,Neoplasms,55,2008,Males,
Malignant neoplasm of other and unspecified major salivary glands,Neoplasms,10,2008,Males,
Malignant neoplasm of tonsil,Neoplasms,44,2008,Males,
Malignant neoplasm of oropharynx,Neoplasms,35,2008,Males,
Malignant neoplasm of nasopharynx,Neoplasms,41,2008,Males,
Malignant neoplasm of pyriform sinus,Neoplasms,10,2008,Males,
Malignant neoplasm of hypopharynx,Neoplasms,22,2008,Males,
"Malignant neoplasm of other and ill-defined sites in the lip, oral cavity and pharynx",Neoplasms,66,2008,Males,
Malignant neoplasms of digestive organs,Neoplasms,6592,2008,Males,
Malignant neoplasm of oesophagus,Neoplasms,843,2008,Males,
Malignant neoplasm of stomach,Neoplasms,717,2008,Males,
Malignant neoplasm of small intestine,Neoplasms,53,2008,Males,
Malignant neoplasm of colon,Neoplasms,1273,2008,Males,
Malignant neoplasm of rectosigmoid junction,Neoplasms,462,2008,Males,
Malignant neoplasm of rectum,Neoplasms,470,2008,Males,
Malignant neoplasm of anus and anal canal,Neoplasms,29,2008,Males,
Malignant neoplasm of liver and intrahepatic bile ducts,Neoplasms,797,2008,Males,
Malignant neoplasm of gallbladder,Neoplasms,62,2008,Males,
Malignant neoplasm of other and unspecified parts of biliary tract,Neoplasms,44,2008,Males,
Malignant neoplasm of pancreas,Neoplasms,1191,2008,Males,
Malignant neoplasm of other and ill-defined digestive organs,Neoplasms,651,2008,Males,
Malignant neoplasms of respiratory and intrathoracic organs,Neoplasms,5280,2008,Males,
Malignant neoplasm of nasal cavity and middle ear,Neoplasms,1,2008,Males,
Malignant neoplasm of accessory sinuses,Neoplasms,16,2008,Males,
Malignant neoplasm of larynx,Neoplasms,204,2008,Males,
Malignant neoplasm of trachea,Neoplasms,5,2008,Males,
Malignant neoplasm of bronchus and lung,Neoplasms,5023,2008,Males,
Malignant neoplasm of thymus,Neoplasms,4,2008,Males,
"Malignant neoplasm of heart, mediastinum and pleura",Neoplasms,18,2008,Males,
Malignant neoplasm of other and ill-defined sites in the respiratory system and intrathoracic organs,Neoplasms,9,2008,Males,
Malignant neoplasms of bone and articular cartilage,Neoplasms,59,2008,Males,
Malignant neoplasm of bone and articular cartilage of limbs,Neoplasms,4,2008,Males,
Malignant neoplasm of bone and articular cartilage of other and unspecified sites,Neoplasms,55,2008,Males,
Melanoma and other malignant neoplasms of skin,Neoplasms,1244,2008,Males,
Malignant melanoma of skin,Neoplasms,964,2008,Males,
Other malignant neoplasms of skin,Neoplasms,280,2008,Males,
Malignant neoplasms of mesothelial and soft tissue,Neoplasms,637,2008,Males,
Mesothelioma,Neoplasms,504,2008,Males,
Kaposi sarcoma,Neoplasms,2,2008,Males,
Malignant neoplasm of peripheral nerves and autonomic nervous system,Neoplasms,6,2008,Males,
Malignant neoplasm of retroperitoneum and peritoneum,Neoplasms,16,2008,Males,
Malignant neoplasm of other connective and soft tissue,Neoplasms,109,2008,Males,
Malignant neoplasm of breast,Neoplasms,14,2008,Males,
Malignant neoplasm of breast,Neoplasms,14,2008,Males,
Malignant neoplasms of female genital organs,Neoplasms,0,2008,Males,
Malignant neoplasm of vulva,Neoplasms,0,2008,Males,
Malignant neoplasm of vagina,Neoplasms,0,2008,Males,
Malignant neoplasm of cervix uteri,Neoplasms,0,2008,Males,
Malignant neoplasm of corpus uteri,Neoplasms,0,2008,Males,
"Malignant neoplasm of uterus, part unspecified",Neoplasms,0,2008,Males,
Malignant neoplasm of ovary,Neoplasms,0,2008,Males,
Malignant neoplasm of other and unspecified female genital organs,Neoplasms,0,2008,Males,
Malignant neoplasm of placenta,Neoplasms,0,2008,Males,
Malignant neoplasms of male genital organs,Neoplasms,3053,2008,Males,
Malignant neoplasm of penis,Neoplasms,10,2008,Males,
Malignant neoplasm of prostate,Neoplasms,3031,2008,Males,
Malignant neoplasm of testis,Neoplasms,12,2008,Males,
Malignant neoplasm of other and unspecified male genital organs,Neoplasms,0,2008,Males,
Malignant neoplasms of urinary tract,Neoplasms,1243,2008,Males,
"Malignant neoplasm of kidney, except renal pelvis",Neoplasms,530,2008,Males,
Malignant neoplasm of renal pelvis,Neoplasms,3,2008,Males,
Malignant neoplasm of ureter,Neoplasms,17,2008,Males,
Malignant neoplasm of bladder,Neoplasms,663,2008,Males,
Malignant neoplasm of other and unspecified urinary organs,Neoplasms,30,2008,Males,
"Malignant neoplasms of eye, brain and other parts of central nervous system",Neoplasms,728,2008,Males,
Malignant neoplasm of eye and adnexa,Neoplasms,12,2008,Males,
Malignant neoplasm of meninges,Neoplasms,3,2008,Males,
Malignant neoplasm of brain,Neoplasms,709,2008,Males,
"Malignant neoplasm of spinal cord, cranial nerves and other parts of central nervous system",Neoplasms,4,2008,Males,
Malignant neoplasms of thyroid and other endocrine glands,Neoplasms,72,2008,Males,
Malignant neoplasm of thyroid gland,Neoplasms,45,2008,Males,
Malignant neoplasm of adrenal gland,Neoplasms,18,2008,Males,
Malignant neoplasm of other endocrine glands and related structures,Neoplasms,9,2008,Males,
"Malignant neoplasms of ill-defined, secondary and unspecified sites",Neoplasms,1300,2008,Males,
Malignant neoplasm of other and ill-defined sites,Neoplasms,101,2008,Males,
Secondary and unspecified malignant neoplasm of lymph nodes,Neoplasms,0,2008,Males,
Secondary malignant neoplasm of respiratory and digestive organs,Neoplasms,0,2008,Males,
Secondary malignant neoplasm of other and unspecified sites,Neoplasms,0,2008,Males,
"Malignant neoplasm, without specification of site",Neoplasms,1199,2008,Males,
"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue",Neoplasms,2222,2008,Males,
Hodgkin lymphoma,Neoplasms,26,2008,Males,
Follicular lymphoma,Neoplasms,22,2008,Males,
Non-follicular lymphoma,Neoplasms,122,2008,Males,
Mature T/NK-cell lymphomas,Neoplasms,66,2008,Males,
Other and unspecified types of non-Hodgkin lymphoma,Neoplasms,583,2008,Males,
Other specified types of T/NK-cell lymphoma,Neoplasms,0,2008,Males,
Malignant immunoproliferative diseases,Neoplasms,19,2008,Males,
Multiple myeloma and malignant plasma cell neoplasms,Neoplasms,487,2008,Males,
Lymphoid leukaemia,Neoplasms,272,2008,Males,
Myeloid leukaemia,Neoplasms,544,2008,Males,
Monocytic leukaemia,Neoplasms,4,2008,Males,
Other leukaemias of specified cell type,Neoplasms,4,2008,Males,
Leukaemia of unspecified cell type,Neoplasms,67,2008,Males,
"Other and unspecified malignant neoplasms of lymphoid, haematopoietic and related tissue",Neoplasms,6,2008,Males,
Malignant neoplasms of independent (primary) multiple sites,Neoplasms,425,2008,Males,
Malignant neoplasms of independent (primary) multiple sites,Neoplasms,425,2008,Males,
Other Neoplasms,Neoplasms,566,2008,Males,
In situ neoplasms,Neoplasms,0,2008,Males,
"Carcinoma in situ of oral cavity, oesophagus and stomach",Neoplasms,0,2008,Males,
Carcinoma in situ of other and unspecified digestive organs,Neoplasms,0,2008,Males,
Carcinoma in situ of middle ear and respiratory system,Neoplasms,0,2008,Males,
Melanoma in situ,Neoplasms,0,2008,Males,
Carcinoma in situ of skin,Neoplasms,0,2008,Males,
Carcinoma in situ of breast,Neoplasms,0,2008,Males,
Carcinoma in situ of cervix uteri,Neoplasms,0,2008,Males,
Carcinoma in situ of other and unspecified genital organs,Neoplasms,0,2008,Males,
Carcinoma in situ of other and unspecified sites,Neoplasms,0,2008,Males,
Benign neoplasms,Neoplasms,53,2008,Males,
Benign neoplasm of mouth and pharynx,Neoplasms,0,2008,Males,
Benign neoplasm of major salivary glands,Neoplasms,0,2008,Males,
"Benign neoplasm of colon, rectum, anus and anal canal",Neoplasms,1,2008,Males,
Benign neoplasm of other and ill-defined parts of digestive system,Neoplasms,1,2008,Males,
Benign neoplasm of middle ear and respiratory system,Neoplasms,1,2008,Males,
Benign neoplasm of other and unspecified intrathoracic organs,Neoplasms,2,2008,Males,
Benign neoplasm of bone and articular cartilage,Neoplasms,1,2008,Males,
Benign lipomatous neoplasm,Neoplasms,0,2008,Males,
"Haemangioma and lymphangioma, any site",Neoplasms,5,2008,Males,
Benign neoplasm of mesothelial tissue,Neoplasms,0,2008,Males,
Benign neoplasm of soft tissue of retroperitoneum and peritoneum,Neoplasms,0,2008,Males,
Other benign neoplasms of connective and other soft tissue,Neoplasms,0,2008,Males,
Melanocytic naevi,Neoplasms,0,2008,Males,
Other benign neoplasms of skin,Neoplasms,1,2008,Males,
Benign neoplasm of breast,Neoplasms,0,2008,Males,
Leiomyoma of uterus,Neoplasms,0,2008,Males,
Other benign neoplasms of uterus,Neoplasms,0,2008,Males,
Benign neoplasm of ovary,Neoplasms,0,2008,Males,
Benign neoplasm of other and unspecified female genital organs,Neoplasms,0,2008,Males,
Benign neoplasm of male genital organs,Neoplasms,0,2008,Males,
Benign neoplasm of urinary organs,Neoplasms,1,2008,Males,
Benign neoplasm of eye and adnexa,Neoplasms,0,2008,Males,
Benign neoplasm of meninges,Neoplasms,30,2008,Males,
Benign neoplasm of brain and other parts of central nervous system,Neoplasms,5,2008,Males,
Benign neoplasm of thyroid gland,Neoplasms,0,2008,Males,
Benign neoplasm of other and unspecified endocrine glands,Neoplasms,5,2008,Males,
Benign neoplasm of other and unspecified sites,Neoplasms,0,2008,Males,
Neoplasms of uncertain or unknown behaviour,Neoplasms,513,2008,Males,
Neoplasm of uncertain or unknown behaviour of oral cavity and digestive organs,Neoplasms,35,2008,Males,
Neoplasm of uncertain or unknown behaviour of middle ear and respiratory and intrathoracic organs,Neoplasms,15,2008,Males,
Neoplasm of uncertain or unknown behaviour of female genital organs,Neoplasms,0,2008,Males,
Neoplasm of uncertain or unknown behaviour of male genital organs,Neoplasms,0,2008,Males,
Neoplasm of uncertain or unknown behaviour of urinary organs,Neoplasms,14,2008,Males,
Neoplasm of uncertain or unknown behaviour of meninges,Neoplasms,1,2008,Males,
Neoplasm of uncertain or unknown behaviour of brain and central nervous system,Neoplasms,71,2008,Males,
Neoplasm of uncertain or unknown behaviour of endocrine glands,Neoplasms,6,2008,Males,
Polycythaemia vera,Neoplasms,8,2008,Males,
Myelodysplastic syndromes,Neoplasms,255,2008,Males,
"Other neoplasms of uncertain or unknown behaviour of lymphoid, haematopoietic and related tissue",Neoplasms,96,2008,Males,
Neoplasm of uncertain or unknown behaviour of other and unspecified sites,Neoplasms,12,2008,Males,
Nutritional anaemias,,7,2008,Males,
Iron deficiency anaemia,,5,2008,Males,
Vitamin B12 deficiency anaemia,,2,2008,Males,
Folate deficiency anaemia,,0,2008,Males,
Other nutritional anaemias,,0,2008,Males,
Haemolytic anaemias,,8,2008,Males,
Anaemia due to enzyme disorders,,0,2008,Males,
Thalassaemia,,1,2008,Males,
Sickle-cell disorders,,1,2008,Males,
Other hereditary haemolytic anaemias,,3,2008,Males,
Acquired haemolytic anaemia,,3,2008,Males,
Aplastic and other anaemias,,73,2008,Males,
Acquired pure red cell aplasia [erythroblastopenia],,0,2008,Males,
Other aplastic anaemias,,37,2008,Males,
Acute posthaemorrhagic anaemia,,0,2008,Males,
Other anaemias,,36,2008,Males,
"Coagulation defects, purpura and other haemorrhagic conditions",,64,2008,Males,
Disseminated intravascular coagulation [defibrination syndrome],,7,2008,Males,
Hereditary factor VIII deficiency,,2,2008,Males,
Hereditary factor IX deficiency,,0,2008,Males,
Other coagulation defects,,19,2008,Males,
Purpura and other haemorrhagic conditions,,36,2008,Males,
Other diseases of blood and blood-forming organs,,32,2008,Males,
Agranulocytosis,,14,2008,Males,
Functional disorders of polymorphonuclear neutrophils,,2,2008,Males,
Other disorders of white blood cells,,1,2008,Males,
Diseases of spleen,,1,2008,Males,
Methaemoglobinaemia,,0,2008,Males,
Other diseases of blood and blood-forming organs,,9,2008,Males,
Other specified diseases with participation of lymphoreticular tissue and reticulohistiocytic tissue,,5,2008,Males,
Certain disorders involving the immune mechanism,,61,2008,Males,
Immunodeficiency with predominantly antibody defects,,4,2008,Males,
Combined immunodeficiencies,,0,2008,Males,
Immunodeficiency associated with other major defects,,4,2008,Males,
Common variable immunodeficiency,,0,2008,Males,
Other immunodeficiencies,,30,2008,Males,
Sarcoidosis,,19,2008,Males,
"Other disorders involving the immune mechanism, not elsewhere classified",,4,2008,Males,
Disorders of thyroid gland,"Endocrine, nutritional and metabolic diseases",22,2008,Males,
Congenital iodine-deficiency syndrome,"Endocrine, nutritional and metabolic diseases",0,2008,Males,
Iodine-deficiency-related thyroid disorders and allied conditions,"Endocrine, nutritional and metabolic diseases",0,2008,Males,
Subclinical iodine-deficiency hypothyroidism,"Endocrine, nutritional and metabolic diseases",0,2008,Males,
Other hypothyroidism,"Endocrine, nutritional and metabolic diseases",17,2008,Males,
Other nontoxic goitre,"Endocrine, nutritional and metabolic diseases",2,2008,Males,
Thyrotoxicosis [hyperthyroidism],"Endocrine, nutritional and metabolic diseases",3,2008,Males,
Thyroiditis,"Endocrine, nutritional and metabolic diseases",0,2008,Males,
Other disorders of thyroid,"Endocrine, nutritional and metabolic diseases",0,2008,Males,
