cause_of_death,chapter,category,2008_Males,2008_Females,2008_Persons,2009_Males,2009_Females,2009_Persons,2010_Males,2010_Females,2010_Persons,2011_Males,2011_Females,2011_Persons,2012_Males,2012_Females,2012_Persons,2013_Males,2013_Females,2013_Persons,2014_Males,2014_Females,2014_Persons,2015_Males,2015_Females,2015_Persons,2016_Males,2016_Females,2016_Persons,2017_Males,2017_Females,2017_Persons
Anthrax,CHAPTER I Certain infectious and parasitic diseases,A22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brucellosis,CHAPTER I Certain infectious and parasitic diseases,A23,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Glanders and melioidosis,CHAPTER I Certain infectious and parasitic diseases,A24,6,2,8,2,1,3,2,3,5,0,2,2,7,3,10,1,1,2,2,1,3,1,1,2,1,1,2,4,2,6
Rat-bite fevers,CHAPTER I Certain infectious and parasitic diseases,A25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Erysipeloid,CHAPTER I Certain infectious and parasitic diseases,A26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Leptospirosis,CHAPTER I Certain infectious and parasitic diseases,A27,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0
"Other zoonotic bacterial diseases, not elsewhere classified",CHAPTER I Certain infectious and parasitic diseases,A28,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,1,2,0,0,0
Other bacterial diseases,CHAPTER I Certain infectious and parasitic diseases,A30-A49,613,674,"1,287",540,565,"1,105",710,731,"1,441",730,823,"1,553",745,861,"1,606",797,892,"1,689",854,920,"1,774",935,932,"1,867",901,945,"1,846",807,856,"1,663"
Leprosy [Hansen's disease],CHAPTER I Certain infectious and parasitic diseases,A30,1,1,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Infection due to other mycobacteria,CHAPTER I Certain infectious and parasitic diseases,A31,6,5,11,10,8,18,7,3,10,7,6,13,7,5,12,4,6,10,6,3,9,4,8,12,9,5,14,6,8,14
Listeriosis,CHAPTER I Certain infectious and parasitic diseases,A32,2,1,3,2,4,6,5,3,8,2,4,6,4,1,5,1,2,3,1,3,4,2,0,2,1,3,4,1,0,1
Tetanus neonatorum,CHAPTER I Certain infectious and parasitic diseases,A33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Obstetrical tetanus,CHAPTER I Certain infectious and parasitic diseases,A34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Other tetanus,CHAPTER I Certain infectious and parasitic diseases,A35,0,1,1,0,0,0,0,1,1,1,0,1,0,1,1,0,1,1,0,0,0,0,0,0,1,0,1,0,1,1
Diphtheria,CHAPTER I Certain infectious and parasitic diseases,A36,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Whooping cough,CHAPTER I Certain infectious and parasitic diseases,A37,0,2,2,1,2,3,4,0,4,3,0,3,3,0,3,0,2,2,2,2,4,2,1,3,0,1,1,0,1,1
Scarlet fever,CHAPTER I Certain infectious and parasitic diseases,A38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Meningococcal infection,CHAPTER I Certain infectious and parasitic diseases,A39,8,6,14,6,3,9,8,3,11,4,8,12,5,8,13,1,4,5,2,5,7,3,8,11,6,7,13,13,9,22
Streptococcal sepsis,CHAPTER I Certain infectious and parasitic diseases,A40,17,14,31,16,8,24,19,21,40,15,13,28,12,16,28,18,12,30,23,12,35,18,20,38,18,19,37,30,16,46
Other sepsis,CHAPTER I Certain infectious and parasitic diseases,A41,553,627,"1,180",473,517,990,640,684,"1,324",660,764,"1,424",663,797,"1,460",726,830,"1,556",761,859,"1,620",839,841,"1,680",798,851,"1,649",672,764,"1,436"
Actinomycosis,CHAPTER I Certain infectious and parasitic diseases,A42,1,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nocardiosis,CHAPTER I Certain infectious and parasitic diseases,A43,3,0,3,3,4,7,3,1,4,4,1,5,3,3,6,1,0,1,2,2,4,1,0,1,5,1,6,1,1,2
Bartonellosis,CHAPTER I Certain infectious and parasitic diseases,A44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Erysipelas,CHAPTER I Certain infectious and parasitic diseases,A46,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
"Other bacterial diseases, not elsewhere classified",CHAPTER I Certain infectious and parasitic diseases,A48,6,2,8,9,4,13,8,1,9,11,8,19,10,1,11,6,3,9,5,4,9,3,5,8,4,3,7,3,5,8
Bacterial infection of unspecified site,CHAPTER I Certain infectious and parasitic diseases,A49,16,15,31,20,15,35,15,13,28,23,18,41,38,27,65,39,32,71,52,30,82,62,49,111,59,55,114,81,51,132
Infections with a predominantly sexual mode of transmission,CHAPTER I Certain infectious and parasitic diseases,A50-A64,6,0,6,3,2,5,1,1,2,1,1,2,1,1,2,1,1,2,2,0,2,1,0,1,2,0,2,2,0,2
Congenital syphilis,CHAPTER I Certain infectious and parasitic diseases,A50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Early syphilis,CHAPTER I Certain infectious and parasitic diseases,A51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Late syphilis,CHAPTER I Certain infectious and parasitic diseases,A52,4,0,4,3,1,4,0,1,1,0,0,0,1,1,2,0,0,0,2,0,2,0,0,0,2,0,2,2,0,2
Other and unspecified syphilis,CHAPTER I Certain infectious and parasitic diseases,A53,1,0,1,0,1,1,1,0,1,1,1,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Gonococcal infection,CHAPTER I Certain infectious and parasitic diseases,A54,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Chlamydial lymphogranuloma (venereum),CHAPTER I Certain infectious and parasitic diseases,A55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Other sexually transmitted chlamydial diseases,CHAPTER I Certain infectious and parasitic diseases,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
Chancroid,CHAPTER I Certain infectious and parasitic diseases,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Granuloma inguinale,CHAPTER I Certain infectious and parasitic diseases,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trichomoniasis,CHAPTER I Certain infectious and parasitic diseases,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anogenital herpesviral [herpes simplex] infection,CHAPTER I Certain infectious and parasitic diseases,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Other predominantly sexually transmitted diseases, not elsewhere classified",CHAPTER I Certain infectious and parasitic diseases,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unspecified sexually transmitted disease,CHAPTER I Certain infectious and parasitic diseases,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Other spirochaetal diseases,CHAPTER I Certain infectious and parasitic diseases,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Nonvenereal syphilis,CHAPTER I Certain infectious and parasitic diseases,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yaws,CHAPTER I Certain infectious and parasitic diseases,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pinta [carate],CHAPTER I Certain infectious and parasitic diseases,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Relapsing fevers,CHAPTER I Certain infectious and parasitic diseases,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Other spirochaetal infections,CHAPTER I Certain infectious and parasitic diseases,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Other diseases caused by chlamydiae,CHAPTER I Certain infectious and parasitic diseases,,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
Chlamydia psittaci infection,CHAPTER I Certain infectious and parasitic diseases,,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
Trachoma,CHAPTER I Certain infectious and parasitic diseases,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Other diseases caused by chlamydiae,CHAPTER I Certain infectious and parasitic diseases,,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rickettsioses,CHAPTER I Certain infectious and parasitic diseases,,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,0,2,1,0,1,1,1,2,1,0,1,2,0,2
Typhus fever,CHAPTER I Certain infectious and parasitic diseases,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spotted fever [tick-borne rickettsioses],CHAPTER I Certain infectious and parasitic diseases,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Q fever,CHAPTER I Certain infectious and parasitic diseases,,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,0,2,1,0,1,1,1,2,1,0,1,2,0,2
Other rickettsioses,CHAPTER I Certain infectious and parasitic diseases,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Viral infections of the central nervous system,CHAPTER I Certain infectious and parasitic diseases,,24,19,43,24,30,54,23,28,51,31,22,53,34,14,48,29,29,58,18,33,51,33,23,56,25,39,64,35,38,73
Acute poliomyelitis,CHAPTER I Certain infectious and parasitic diseases,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Slow virus infections of central nervous system,CHAPTER I Certain infectious and parasitic diseases,,14,14,28,12,25,37,19,23,42,25,21,46,27,9,36,22,23,45,13,26,39,29,20,49,20,33,53,31,30,61
Rabies,CHAPTER I Certain infectious and parasitic diseases,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Mosquito-borne viral encephalitis,CHAPTER I Certain infectious and parasitic diseases,,1,0,1,2,0,2,1,0,1,2,0,2,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Tick-borne viral encephalitis,CHAPTER I Certain infectious and parasitic diseases,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Other viral encephalitis, not elsewhere classified",CHAPTER I Certain infectious and parasitic diseases,,1,0,1,2,0,2,1,0,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0
Unspecified viral encephalitis,CHAPTER I Certain infectious and parasitic diseases,,7,5,12,8,4,12,2,2,4,3,1,4,4,4,8,5,5,10,5,5,10,4,2,6,5,6,11,3,8,11
Viral meningitis,CHAPTER I Certain infectious and parasitic diseases,,1,0,1,0,1,1,0,3,3,1,0,1,3,0,3,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1
"Other viral infections of central nervous system, not elsewhere classified",CHAPTER I Certain infectious and parasitic diseases,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unspecified viral infection of central nervous system,CHAPTER I Certain infectious and parasitic diseases,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Arthropod-borne viral fevers and viral haemorrhagic fevers,CHAPTER I Certain infectious and parasitic diseases,,0,0,0,0,1,1,1,0,1,0,0,0,1,1,2,1,1,2,0,0,0,0,0,0,0,1,1,1,0,1
Dengue fever [classical dengue],CHAPTER I Certain infectious and parasitic diseases,,0,0,0,0,1,1,1,0,1,0,0,0,1,1,2,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0
Dengue haemorrhagic fever,CHAPTER I Certain infectious and parasitic diseases,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Other mosquito-borne viral fevers,CHAPTER I Certain infectious and parasitic diseases,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1
"Other arthropod-borne viral fevers, not elsewhere classified",CHAPTER I Certain infectious and parasitic diseases,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unspecified arthropod-borne viral fever,CHAPTER I Certain infectious and parasitic diseases,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yellow fever,CHAPTER I Certain infectious and parasitic diseases,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arenaviral haemorrhagic fever,CHAPTER I Certain infectious and parasitic diseases,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Other viral haemorrhagic fevers, not elsewhere classified",CHAPTER I Certain infectious and parasitic diseases,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unspecified viral haemorrhagic fever,CHAPTER I Certain infectious and parasitic diseases,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Viral infections characterized by skin and mucous membrane lesions,CHAPTER I Certain infectious and parasitic diseases,,25,25,50,15,29,44,12,33,45,19,34,53,19,37,56,19,33,52,16,23,39,25,31,56,20,25,45,28,27,55
Herpesviral [herpes simplex] infections,CHAPTER I Certain infectious and parasitic diseases,,12,7,19,4,5,9,6,10,16,6,9,15,7,13,20,7,12,19,6,4,10,9,10,19,6,5,11,9,6,15
Varicella [chickenpox],CHAPTER I Certain infectious and parasitic diseases,,1,5,6,4,1,5,1,5,6,5,3,8,6,4,10,1,2,3,3,3,6,2,1,3,4,2,6,3,2,5
Zoster [herpes zoster],CHAPTER I Certain infectious and parasitic diseases,,12,13,25,7,23,30,4,18,22,8,22,30,6,20,26,10,19,29,7,16,23,13,20,33,9,18,27,16,19,35
Smallpox,CHAPTER I Certain infectious and parasitic diseases,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Monkeypox,CHAPTER I Certain infectious and parasitic diseases,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Measles,CHAPTER I Certain infectious and parasitic diseases,,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Rubella [German measles],CHAPTER I Certain infectious and parasitic diseases,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0
Viral warts,CHAPTER I Certain infectious and parasitic diseases,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Other viral infections characterized by skin and mucous membrane lesions, not elsewhere classified",CHAPTER I Certain infectious and parasitic diseases,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unspecified viral infection characterized by skin and mucous membrane lesions,CHAPTER I Certain infectious and parasitic diseases,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Viral hepatitis,CHAPTER I Certain infectious and parasitic diseases,,35,13,48,35,22,57,26,9,35,24,5,29,18,4,22,190,92,282,204,86,290,198,85,283,186,76,262,142,64,206
Acute hepatitis A,CHAPTER I Certain infectious and parasitic diseases,,3,0,3,1,2,3,0,1,1,1,0,1,0,0,0,2,0,2,0,0,0,3,0,3,0,0,0,0,0,0
Acute hepatitis B,CHAPTER I Certain infectious and parasitic diseases,,4,2,6,7,1,8,0,0,0,6,2,8,1,1,2,16,4,20,26,4,30,18,10,28,16,4,20,13,11,24
Other acute viral hepatitis,CHAPTER I Certain infectious and parasitic diseases,,1,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,4,5,9,4,5,9,2,3,5,3,3,6
Chronic viral hepatitis,CHAPTER I Certain infectious and parasitic diseases,,25,10,35,24,17,41,24,6,30,16,2,18,16,3,19,170,85,255,174,77,251,171,68,239,167,69,236,125,50,175
Unspecified viral hepatitis,CHAPTER I Certain infectious and parasitic diseases,,2,1,3,2,2,4,2,2,4,0,1,1,1,0,1,1,3,4,0,0,0,2,2,4,1,0,1,1,0,1
Human immunodeficiency virus [HIV] disease,CHAPTER I Certain infectious and parasitic diseases,,59,8,67,74,5,79,64,7,71,82,9,91,70,5,75,55,7,62,54,2,56,40,5,45,51,6,57,55,1,56
Human immunodeficiency virus [HIV] disease resulting in infectious and parasitic diseases,CHAPTER I Certain infectious and parasitic diseases,,21,2,23,31,2,33,27,2,29,30,4,34,20,0,20,22,5,27,19,1,20,13,1,14,20,2,22,28,0,28
Human immunodeficiency virus [HIV] disease resulting in malignant neoplasms,CHAPTER I Certain infectious and parasitic diseases,,9,1,10,5,1,6,13,1,14,11,1,12,15,0,15,16,0,16,12,0,12,8,1,9,14,2,16,11,1,12
Human immunodeficiency virus [HIV] disease resulting in other specified diseases,CHAPTER I Certain infectious and parasitic diseases,,9,0,9,13,1,14,7,3,10,20,2,22,14,4,18,6,0,6,8,0,8,4,1,5,3,1,4,3,0,3
Human immunodeficiency virus [HIV] disease resulting in other conditions,CHAPTER I Certain infectious and parasitic diseases,,15,3,18,18,0,18,10,1,11,15,2,17,15,1,16,7,0,7,4,1,5,5,1,6,4,0,4,4,0,4
Unspecified human immunodeficiency virus [HIV] disease,CHAPTER I Certain infectious and parasitic diseases,,5,2,7,7,1,8,7,0,7,6,0,6,6,0,6,4,2,6,11,0,11,10,1,11,10,1,11,9,0,9
Other viral diseases,CHAPTER I Certain infectious and parasitic diseases,,21,20,41,35,24,59,26,25,51,17,17,34,19,18,37,11,18,29,18,11,29,17,21,38,22,28,50,28,35,63
Cytomegaloviral disease,CHAPTER I Certain infectious and parasitic diseases,,2,7,9,4,5,9,8,6,14,4,2,6,3,5,8,3,4,7,3,2,5,3,2,5,1,2,3,0,1,1
Mumps,CHAPTER I Certain infectious and parasitic diseases,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,1
Infectious mononucleosis,CHAPTER I Certain infectious and parasitic diseases,,2,1,3,2,1,3,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,0,2,2,1,2,3,0,0,0
Viral conjunctivitis,CHAPTER I Certain infectious and parasitic diseases,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Other viral diseases, not elsewhere classified",CHAPTER I Certain infectious and parasitic diseases,,2,0,2,5,6,11,3,2,5,3,1,4,4,3,7,1,2,3,4,1,5,1,0,1,0,1,1,1,1,2
Viral infection of unspecified site,CHAPTER I Certain infectious and parasitic diseases,,15,12,27,24,12,36,14,17,31,9,14,23,11,10,21,6,12,18,10,8,18,12,17,29,20,22,42,27,32,59
Mycoses,CHAPTER I Certain infectious and parasitic diseases,,22,7,29,22,5,27,25,13,38,24,10,34,19,15,34,18,23,41,22,16,38,20,21,41,24,16,40,29,16,45
Dermatophytosis,CHAPTER I Certain infectious and parasitic diseases,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Other superficial mycoses,CHAPTER I Certain infectious and parasitic diseases,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Candidiasis,CHAPTER I Certain infectious and parasitic diseases,,7,3,10,3,3,6,5,3,8,5,5,10,4,7,11,3,8,11,8,6,14,3,4,7,5,8,13,11,3,14
Coccidioidomycosis,CHAPTER I Certain infectious and parasitic diseases,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Histoplasmosis,CHAPTER I Certain infectious and parasitic diseases,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blastomycosis,CHAPTER I Certain infectious and parasitic diseases,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paracoccidioidomycosis,CHAPTER I Certain infectious and parasitic diseases,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sporotrichosis,CHAPTER I Certain infectious and parasitic diseases,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chromomycosis and phaeomycotic abscess,CHAPTER I Certain infectious and parasitic diseases,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0
Aspergillosis,CHAPTER I Certain infectious and parasitic diseases,,7,2,9,8,1,9,6,3,9,12,1,13,2,6,8,14,7,21,10,2,12,8,8,16,9,4,13,9,4,13
Cryptococcosis,CHAPTER I Certain infectious and parasitic diseases,,4,1,5,5,1,6,5,4,9,3,2,5,6,1,7,1,1,2,3,3,6,7,3,10,3,1,4,3,2,5
Zygomycosis,CHAPTER I Certain infectious and parasitic diseases,,0,0,0,2,0,2,1,0,1,1,1,2,1,0,1,0,2,2,0,0,0,0,1,1,1,2,3,0,0,0
